高级后端工程师,20-40K,"高级后端开发工程师 Senior Back-end Development Engineer
学历要求：本科及以上
薪金：20～30K
福利：额外带薪年假、+期权、年底三薪+
岗位职责
- 参与产品开发的设计与规划
- 负责将功能产品化
- 负责核心技术算法的研究、实现和优化
任职要求：
- 计算机科学专业本科以上学历，海归优先
- 深刻理解计算机数据结构和算法设计，精通Python
- 3年以上相关开发经历优先；
- 有服务器搭建经验优先
- 具备计算机科学基础知识,熟识软件工程和相关设计模型
- 了解windows、linux等主流操作系统及相关应用开发
- 优秀的分析问题和解决问题的能力，勇于解决难题
- 良好的沟通能力和协调能力,有团队合作精神
- 能自我管理和有良好的时间管理和责任感
- 热爱新技术，强烈的上进心和求知欲，较强的学习能力和沟通能力，具备良好的团队合作精神
如有Github 账号请提供你在 Github 上的项目，并做一个简要介绍以及你所用的技术.
*****************************************************
如果你知道下题的答案，请寄给我们：
【将一个从小到大排列好的数组转换成二叉搜索树】
我们期待你的来信。 世界顶级建筑事务所背景+Google背景技术团队 小库科技是专注于人工智能在建筑行业应用的技术型初创公司，目前处于A轮融资，估值上亿元。

2016年，小库在深圳成立，团队由资深跨界建筑师、Google背景资深软件工程师、数学学家等拥有着出色的科技、建筑专业海外职业、教育背景的行业专家组成。

除此之外，小库团队长期保持着和来自不同领域的优",深圳小库科技有限公司,深圳南山区万科云设计公社
晶型预测算法工程师,15-25K,"职位诱惑：
技术牛逼,成长快,弹性工作
职位描述：
晶泰科技是一家以量子化学，分子动力学，人工智能等技术为核心的药物研发公司，致力于发展算法和基于云计算海量资源，解决药物研发过程中的关键共性问题。利用分子动力学模拟，在原子层面上对药物分子的晶体结构、自由能等进行模拟；利用量子化学计算，得到精确的结构和能量。利用全局优化算法和AI相结合，我们能迅速寻找药物晶体结构，研究药物的各项理化性质。结合量子化学和分子动力学、AI三者的优势，为药物设计和药物晶型提供服务，降低新药和仿制药开发的风险。
我们的团队包括来自学术界、IT、医药产业界的人才。研发部门包括十多个从MIT、卡内基梅隆、港大、北大、浙大、中科大、中科院、川大、中山大学、北航等国内国外博士、博士后；有曾在健赞（Genzyme）工作多年的亚太研发策略总监和曾在默克、Concert等工作的药物代谢及生化分析总监等具有丰富的药物一线研发经验的国际著名药企高管。同时公司有具有丰富的云计算平台开发和管理经验的IT人才。团队人员曾在量子化学、分子动力学、药物设计、药物晶型等领域发表了多篇算法和应用上的论文。计算化学家和制剂、动物实验、临床等专家的交流与合作，给团队人员开阔视野，提供了更大的个人发展空间。
职位诱惑：每年两次加薪机会，五险一金，年底双薪，年终奖励。
工作内容：
高级算法工程师将加入到我们全部由博士组成的研发部门，开发算法用于晶型预测和药物设计，使计算化学解决真正解决药物工业的问题。
和研发部门一起测试现有算法、软件和云计算平台；
负责/参与晶型预测、第一性原理或分子动力学软件的部分模块研发；
领导或参与药物设计算法研究。
任职要求：
计算机、软件工程、量子化学、物理化学、药物化学、凝聚态物理或计算材料学等专业，硕士以上学历；
掌握科学算法和并行算法，并具有实际开发经验；
掌握一门编程语言(Python, Java, C++, Fortran, C etc.)
具有以下知识或研究经验者优先：
熟悉CUDA编程框架；
熟悉LINPACK、NUMPY等算法库；
工作地址 我们的团队包括来自学术界、IT、医药产业界的人才。研发部门包括十多个从MIT、卡内基梅隆、香港大学、北大、中科院、中科大、四川大学、中山大学等国内国外博士；同时，公司有具有丰富的云计算平台开发和管理经验的IT人才。团队人员曾在量子化学、分子动力学、药物设计、药物晶型等领域发表了多篇算法和应用上的论文。 公司简介
晶泰科技(XtalPi)是一家世界领先的以计算驱动创新的药物研发科技公司，基于最前沿的计算物理、量子化学、分子动力学、人工智能与云计算等技术，为全球创新药企提供快速、精确的智能化药物研发科技，从而显著提高药物发现与开发关键环节的效率与成功率，降低研发成本，最终为患者带来更多优质高效的药物",深圳晶泰科技有限公司,深圳市 福田区 福田区 英龙大厦28A
机器学习软件工程师,10-15K,"机器学习软件工程师。
须熟练使用掌握 Linux 系统和服务器相关知识。
对机器学习和 Python 有基本的了解。 人工智能救不了地球人。 泛化智能是一家专注于机器学习与计算机视觉的人工智能 公司，总部位于北京。我们致力于为客户提供灵活高效的人工 智能产品与解决方案。泛化智能坚信人工智能并不应该是被束 之高阁的实验室项目，而是应该成为人人都可用的基础设施， 所以泛化智能一直以来的目标就是尽可能让客户更简单的应用 人工智能技术。出于对需求",北京泛化智能科技有限公司,深圳宝安区深圳西部硅谷
机器人算法工程师,15-25K,"工作职责
*** 改进、研发基于视觉的地图构建以及自主定位算法
** 移植、改进基于多传感器融合的机器人物体检测与跟踪算法 ** 研发轮式机器人路径规划以及运动控制算法
* 协助系统集成工程师，负责机器人的性能优化和产品化落地。
要求
*** 具有AGV/UAV从业背景者或机器人比赛(Robocon, Robomaster) 经验者优先
** 本科及以上学历，2年以上工作经验，计算机、自动化等相关专业 ;
** 熟悉IMU、激光雷达、视觉、超声波等常用传感器及其数据处理算法
** 了解常见的图像处理算法、计算机视觉算法和点云处理算法，包括但不限于标定、立体视觉、 目标检测与识别、VSLAM等领域
** 掌握 Linux 下的 C++, Python 和 shell 开发，具备良好的编程习惯。 * 了解常见的路径规划方法与基本的运动控制算法
* 熟悉ROS、OpenCV、PCL等常用库， 公司成立于2018年1月，是AutoX Technologies, Inc.在中国的全资子公司。公司目前拥有美国硅谷研发中心和中国深圳研发中心，致力于实现基于中国环境的自动驾驶方案。让无人驾驶真正实现商用，为每一天的生活带来便捷！现因业务发展的需要，向社会诚聘英才。欢迎跟我们有志同道合的人士加入我们团队！ AutoX是一家专注于L4级无人驾驶技术的公司。公司成立于2016年8月，现开设有美国研发中心和中国研发中心。深圳裹动智驾科技有限公司（AutoX中国）成立于2018年初，是立足于中国本土，为实现全人类的无人驾驶革命的愿景为使命。我们渴望志同道合者加入我们的团队，一同突破一个个难题，朝着让无人驾驶真",深圳裹动智驾科技有限公司,深圳市 南山区 深圳湾科技生态园
嵌入式实习,4-8K,"工作职责：
-负责底层驱动的开发和维护
-配合驱动工程师进行测试工作
-维护研发所需工具链
工作要求：
-熟悉Python，C++，有过一定的项目经验
-熟悉linux系统，使用经验
专业要求：
全日制本科计算机、软件、电子、信息及相关专业，211/985优先 云鲸智能科技（东莞）有限公司致力于使用先进的移动机器人技术提升生活品质，是一家专业研发服务机器人的高科技企业，2015年创立于东莞松山湖畔的国际机器人产业基地。
云鲸目前有80余位研发人员。既有来自上海交通大学、东南大学、华中科技大学、香港科技大学、东北大学、华南理工大学、",云鲸智能科技（东莞）有限公司,深圳市 南山区 南山区
后台开发,20-21K·14薪,"岗位职责：
负责QQ平台海量服务功能开发；
大数据项目后台架构工程师；
负责推荐系统/特征工程/AI工程架构；
负责推荐后台架构升级优化，机器学习模型性能优化；
负责离线大数据训练集群上功能开发和性能优化。
岗位要求：
计算机相关专业本科以上学历，毕业三年，工作两年经验以上； 精通C++/java/go语言，熟悉至少一门脚本语言例如python或者python； 熟悉linux后台程序开发性能优化经验； 熟悉spark等大数据生态技术栈，有实际工作经验； 对机器学习/AI有基础或者学习能力好的尤佳。 深圳市腾讯计算机系统有限公司成立于1998年11月，由马化腾、张志东、许晨晔、陈一丹、曾李青五位创始人共同创立。 是中国最大的互联网综合服务提供商之一，也是中国服务用户最多的互联网企业之一。
腾讯多元化的服务包括：社交和通信服务QQ及微信/WeChat、社交网络平台QQ空间、腾讯游戏旗下QQ游戏平",腾讯科技（深圳）有限公司,深圳市 南山区 腾讯大厦
QQ智能后台开发,20-40K,"负责QQ平台海量服务功能开发； 大数据项目后台架构工程师； 负责推荐系统/特征工程/AI工程架构； 负责推荐后台架构升级优化，机器学习模型性能优化； 负责离线大数据训练集群上功能开发和性能优化。
计算机相关专业本科以上学历，毕业三年，工作两年经验以上； 精通C++/java/go语言，熟悉至少一门脚本语言例如python； 熟悉linux后台程序开发性能优化经验； 熟悉spark等大数据生态技术栈，有实际工作经验； 对机器学习/AI有基础或者学习能力好的尤佳。 深圳市腾讯计算机系统有限公司成立于1998年11月，由马化腾、张志东、许晨晔、陈一丹、曾李青五位创始人共同创立。 是中国最大的互联网综合服务提供商之一，也是中国服务用户最多的互联网企业之一。
腾讯多元化的服务包括：社交和通信服务QQ及微信/WeChat、社交网络平台QQ空间、腾讯游戏旗下QQ游戏平",腾讯科技（深圳）有限公司,深圳南山区万利达科技大厦
计算机视觉与机器学习工程师,20-25K,"计算机视觉与机器学习工程师
必须对各类计算机视觉算法，机器学习和 Python 有充分的了解
熟练使用掌握 Linux 系统和服务器相关知识优先
处理我司在深圳子公司的业务，因为刚刚开展，所以会重点培养下现在加入的同事
对已有实际项目经历，现在想有独立负责大型机器学习工程的经验，以及加深技术的朋友会比较合适
对于尚无实际项目经验，只是单纯上过课的话这并不是一个合适的职位，因为难度会比较大
工作方式比较弹性，如果不需要去客户现场的时间可以接受在家办公（但人必须在深圳）
如果水平足够好，薪资可以根据实际水平有所上浮。 人工智能救不了地球人。 泛化智能是一家专注于机器学习与计算机视觉的人工智能 公司，总部位于北京。我们致力于为客户提供灵活高效的人工 智能产品与解决方案。泛化智能坚信人工智能并不应该是被束 之高阁的实验室项目，而是应该成为人人都可用的基础设施， 所以泛化智能一直以来的目标就是尽可能让客户更简单的应用 人工智能技术。出于对需求",北京泛化智能科技有限公司,深圳宝安区深圳西部硅谷
U3D开发,25-50K,"工作岗位：
移动生态系统专家、JAVA开发工程师、AR&VR开发工程师、Android开发工程师
Java开发、大数据、Android相关（APP开发，架构设计）、Web相关（前端、后台，架构）、人工智能（机器学习、深度学习、数据挖掘） 华为是全球领先的信息与通信技术(ICT)解决方案供应商，专注于ICT领域，坚持稳健经营、持续创新、开放合作，在电信运营商、企业、终端和云计算等领域构筑了端到端的解决方案优势，为运营商客户、企业客户和消费者提供有竞争力的ICT解决方案、产品和服务，并致力于使能未来信息社会、构建更美好的全联接世界。目前",华为技术有限公司,深圳龙岗区深圳市华为技术有限公司
DevOps工程师,15-30K,"职责和责任

通过与整个IT团队合作，构建和维护devops工具链，从源代码版本控制到产品发布，即端到端构建到发布周期，
利用各种开源技术并使用各种工具来编排解决方案，以确保生产系统的可用性，性能，可扩展性和安全性
生产系统的建立，发布和配置管理; 构建独立的基于Web的工具，微服务和解决方案以实现自动化和改进。
使用Perl / Python / Groovy / Java / Bash编写用于管理系统服务和IT操作的脚本和自动化
配置和管理理性数据库，nosql，流数据，大数据等数据源
支持测试自动化以帮助确保我们产品和服务的质量。
选择，维护和利用监控工具来确保我们产品的服务连续性。
了解各种系统如何协同工作，跨平台和应用程序域进行系统故障排除和问题解决。
建议架构和运营的改善，推荐流程改善; 评估新技术选项和供应商产品。
通过与我们的信息部门人员一起使用***实践，确保关键的系统安全
DevOps工程师要求

学士学位或工程硕士或同等学历
1年以上作为DevOps工程师在7*24小时的正常运行环境的经验，包括配置管理工具的自动化经验
3年以上的实践经验，至少使用一种脚本语言或相应的开发经验。
5年以上基于Windows和Linux管理的基础架构的经验，具有AWS云基础架构工程经验尤佳。 深圳市艾特创新科技有限公司（简称ATCK）成立于2017年，办公地区位于深圳市南山区高新技术产业园。公司致力于软件开发、网站建设优化，目前已在领域内汇聚了一支专业、年轻、充满活力且优秀的专业开发团队，其中包括：全栈工程师、Node Js工程师、前端开发工程师、PHP工程师、Wordpress工程师、",深圳市艾特创新科技有限公司,深圳市 南山区 桑达科技大厦 802
